issn,year_founded,year_reverse_flipped,journal_location,society_affiliation,other_sci_affiliation,journal_name,post_flip_publisher,access_model,apc_pre,apc_post,apc_now,discipline,flipped_oa,born_oa,embargo
2190-5738,2011,2017,Saudi Arabia,0,King Abdulaziz City of Science and Technology (KACST),3 Biotech,Springer Nature,Hybrid,0,3000,3000,LS,0,1,12
1012-8255,1988,2016,Peru,0,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0,1595,2950,SSH,1,0,0
1895-7455,1953,2017,Poland,0,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
1745-7254,1980,2005,China,0,Chinese Academy of Sciences,Acta Pharmacologica Sinica,Springer Nature,Subscription,0,-,3300,Health,1,0,12
0210-4806,1977,2012,Spain,Asociación Española de Urología,0,Actas Urologicas Espanolas,Elsevier,Subscription,N/A,-,-,SSH,1,0,
1896-1126,1956,2014,Poland,0,Medical University of Bialystok,Advances in Medical Sciences,Elsevier,Hybrid,0,300,1200,Health,1,0,12
1872-5457,2008,2015,-,0,0,African Diaspora,Brill Academic Publishers,Hybrid,1360,2745,1600,SSH,1,0,24
1472-2747,2001,2006,-,0,0,Algebraic & Geometric Topology (AGT),Mathematical Sciences Publishers (MSP),Subscription,0,-,-,PSM,0,1,
0002-7014,1964,2009,Argentina,Argentinian Association of Paleontology,0,Ameghiniana,Argentinian Association of Paleontology,Subscription,0,-,300,PSM,1,0,N/A
2008-8752,2010,2015,Iran,0,Tusi Mathematical Research Group,Annals of Functional Analysis,Duke University Press,Hybrid,0,1000,1000,PSM,0,1,0
0003-486X,1884,2008,USA,0,Department of Mathematics at  Princeton University  with the cooperation of the Institute for Advanced Study,Annals of Mathematics,Department of Mathematics at  Princeton University  with the cooperation of the Institute for Advanced Study,Subscription,N/A,-,-,PSM,1,0,
0914-7187,1987,2008,Japan,Japanese Society of Nuclear Medicine,0,Annals of Nuclear Medicine,Springer Nature,Hybrid,0,3000,3000,Health,1,0,12
0003-6862,1966,2011,Japan,Japanese Society of Applied Entomology and Zoology,0,Applied Entomology and Zoology,Springer Nature,Subscription,N/A,-,3000,LS,1,0,12
2190-5517,2011,2018,Saudi Arabia,0,King Abdulaziz City of Science and Technology (KACST),Applied Nanoscience,Springer Nature,Hybrid,0,3000,3000,LS,0,1,12
1319-8025,1976,2011,Saudi Arabia,0,King Fahd University of Petroleum and Minerals,Arabian Journal for Science and Engineering,Springer Nature,Hybrid,N/A,3000,3000,PSM,1,0,12
0253-6269,1978,2009,South Korea,Pharmaceutical Society of Korea,0,Archives of Pharmacal Research,Springer Nature,Subscription,0,-,3000,Health,1,0,12
0365-6691,1926,2013,Spain,Sociedad Española de Oftalmología,0,Archivos de la Sociedad Espanola de Oftalmologia,Elsevier,Subscription,N/A,-,-,Health,1,0,
1566-5399,2001,2013,Netherlands,0,"Igitur, Utrecht Publishing & Archiving Services",Ars Disputandi : the Online Journal for Philosophy of Religion,Taylor & Francis,Hybrid,N/A,2950,2950,SSH,0,1,18
1309-1042,2010,2015,Turkey,0,Turkish National Committee for Air Pollution Research and Control,Atmospheric Pollution Research,Elsevier,Subscription,0,-,1500,PSM,0,1,24
0311-6999,1974,2011,Australia,Australian Association for Research in Education,0,Australian Educational Researcher,Springer Nature,Subscription,N/A,-,3000,SSH,1,0,12
1735-8787,2007,2015,Iran,0,Tusi Mathematical Research Group,Banach Journal of Mathematical Analysis,Duke University Press,Hybrid,0,1000,1000,PSM,0,1,0
2198-3534,2015,2019,-,0,0,Bandung: Journal of the Global South,Brill,Hybrid,980,2395,2395,SSH,0,1,24
1559-4106,2006,2014,USA,American Vacuum Society (AVS),0,Biointerphases,American Institute of Physics,Hybrid,1045,2200,1085,LS,1,0,0
0791-7945,1902,2009,Ireland,Royal Irish Academy,0,Biology and Environment,Royal Irish Academy,Subscription,0,-,N/A,LS,1,0,0
0037-8615,1995,2014,Mexico,Sociedad Matemática Mexicana,0,Boletin de la Sociedad Matematica Mexicana,Springer Nature,Hybrid,N/A,3000,3000,PSM,1,0,12
0103-9733,1971,2011,Brazil,Brazilian Physical Society,0,Brazilian Journal of Physics,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
1759-3077,2009,2013,UK,0,University of Glasgow,Bulletin of Italian Politics,Taylor & Francis,Hybrid,0,2950,2950,SSH,0,1,18
0253-2964,1980,2015,South Korea,Korean Chemical Society,0,Bulletin of the Korean Chemical Society,Wiley,Hybrid,600,2500,2500,PSM,1,0,12
0846-5371,1950,2009,Canada,Canadian Association of Radiologists,0,Canadian Association of Radiologists Journal,Elsevier,Subscription,0,-,1700,Health,1,0,12
0823-2105,1984,2016,Canada,Canadian Society for the History of Medicine (prev Wilfrid Laurier University Press),0,Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine,University of Toronto Press,Hybrid,0,3000,3000,Health,1,0,12
1499-2671,1977,2012,Canada,Canadian Diabetes Association,0,Canadian Journal of Diabetes,Elsevier,Subscription,0,-,3300,Health,1,0,12
0706-7437,1956,2015,Canada,Canadian Psychiatric Association,0,Canadian Journal of Psychiatry,Sage,Subscription,0,-,1500,Health,1,0,0
2213-0896,1982,2016,-,0,0,Cancer Treatment Communications,Elsevier,Hybrid,600,650,650,Health,1,0,0
1001-0602,1990,2005,China,0,Chinese Academy of Sciences,Cell Research,Springer Nature,Subscription,0,-,3300,LS,1,0,12
1538-6279,1987,2013,USA,0,Hunter College Center for Puerto Rican Studies,Centro Journal,Hunter College Center for Puerto Rican Studies,Subscription,0,-,-,SSH,1,0,
1614-7065,1983,2005,China,0,Chinese Academy of Sciences,Chinese Journal of Chemistry,Wiley,Subscription,0,-,3000,LS,1,0,12
0577-9073,1963,2016,China,The Physical Society of the Republic of China,0,Chinese Journal of Physics,Elsevier,Hybrid,0,N/A,1500,PSM,1,0,24
1861-9541,1956,2014,China,0,"Chinese Academy of Sciences (CAS), National Natural Science Foundation of China (NSFC)",Chinese Science Bulletin,Springer Nature,Hybrid,0,3000,2500,PSM,1,0,12
2215-0382,2014,2016,-,0,0,Colloid and Interface Science Communications,Elsevier,Hybrid,750,1500,1500,PSM,0,1,24
1807-0302,1982,2013,Brazil,Brazilian Society of Computational and Applied Mathematics,0,Computational and Applied Mathematics,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
2352-2143,2014,2017,-,0,0,Computational Condensed Matter,Elsevier,Hybrid,750,750,1000,PSM,0,1,24
1609-4840,2001,2012,Belarus,0,Institute of Mathematics of the National Academy of Science of Belarus,Computational Methods in Applied Mathematics,De Gruyter,Subscription,N/A,-,2303,PSM,1,0,12
2330-1392,2013,2017,-,0,0,Contention: The Multidisciplinary Journal of Social Protest,Berghahn Books,Subscription,N/A,-,-,SSH,0,1,
1528-4980,1994,2010,USA,Association for Computing Machinery,0,Crossroads: The International ACM Student Magazine,Association for Computing Machinery,Subscription,N/A,-,-,PSM,1,0,
1467-3037,1999,2015,-,0,0,Current Issues in Molecular Biology,Caister Academic Press,Hybrid,1350,1375,1375,LS,1,0,N/A
2008-2231,1993,2018,Iran,0,Tehran University of Medical Sciences,DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,1046,3000,3000,Health,1,0,12
0251-3625,1965,2009,Switzerland,0,Eidgenössische Technische Hochschule Zürich,DISP,"NSL - Netzwerk, Stadt und Landschaft",Subscription,N/A,-,2950,SSH,1,0,
1548-159X,2004,2015,-,0,0,Dynamics of Partial Differential Equations (DPDE),International Press of Boston,Subscription,N/A,-,-,PSM,0,1,
1618-7229,2001,2013,EU,European Polymer Federation,0,e-Polymers,De Gruyter,Subscription,N/A,-,-,PSM,0,1,
0313-5926,1971,2014,Australia,0,Economic Society of Australia (Queensland) Inc.,Economic Analysis and Policy,Elsevier,Hybrid,0,1800,1800,SSH,1,0,24
1387-3091,1997,2013,Netherlands,0,Tilburg University Schoordijk Institute and the Utrecht University Molengraaff Institute,Electronic Journal of Comparative Law,Brill,Hybrid,0,2550,2395,SSH,0,1,24
1175-8708,2002,2015,New Zealand,0,The University of Waikato,English Teaching: Practice & Critique,Emerald,Hybrid,N/A,1595,2950,SSH,0,1,0
2215-1532,2014,2016,-,0,0,"Environmental Nanotechnology, Monitoring and Management",Elsevier,Hybrid,900,1800,1950,LS,0,1,24
1878-5085,2010,2017,Belgium,"European Association for Predictive, Preventive and Personalised Medicine",0,EPMA Journal,Springer Nature,Hybrid,2240,3000,3000,Health,1,0,12
1733-8387,1983,2011,Poland,0,Silesian University of Technology,Geochronometria,Springer Nature,Subscription,N/A,-,1149,PSM,1,0,12
1364-0380,1997,2006,-,0,0,Geometry & Topology,Mathematical Sciences Publishers (MSP),Subscription,N/A,-,-,PSM,0,1,
1971-9558,1974,2013,-,0,0,Giornale di Psicologia,Mulino Publishing Company,Subscription,0,-,-,SSH,1,0,
0975-1432,2009,2013,India,Karam Society,0,Global Journal of Enterprise Information System,Informatics Publishing Limited,Hybrid,N/A,N/A,N/A,SSH,0,1,0
2190-7579,1968,2016,-,0,0,Gold Bulletin,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
2047-2501,2013,2017,-,0,0,Health Information Science and Systems,Springer Nature,Hybrid,2145,3000,3000,Health,0,1,12
1520-4383,2000,2014,USA,American Society of Hematology,0,Hematology online (ASH),American Society of Hematology,Subscription,N/A,-,-,Health,1,0,
2284-5666,2012,2018,Romania,Balkan History Association,0,Hiperboreea,Balkan History Association,Subscription,N/A,-,-,SSH,0,1,
1532-0073,1999,2014,-,0,0,"Homology, Homotopy and Applications (HHA)",International Press of Boston,Subscription,N/A,-,-,PSM,0,1,N/A
1051-1482,1990,2010,USA,0,Metropolitan Institute at Virginia Tech,Housing Policy Debate,Taylor & Francis,Subscription,N/A,-,2950,SSH,1,0,18
1210-3055,1991,2011,-,0,0,Human Affairs,Springer Nature,Subscription,0,-,2303,SSH,1,0,12
0916-9636,1978,2009,Japan,Japanese Society of Hypertension Research,0,Hypertension Research,Springer Nature,Subscription,N/A,-,3300,Health,1,0,6
0018-8646,1957,2010,-,0,0,IBM Journal of Research and Development,IEEE,Subscription,N/A,-,1950,PSM,1,0,N/A
0018-8670,1962,2010,-,0,0,IBM Systems Journal,IEEE,Subscription,N/A,-,1950,PSM,1,0,N/A
2168-6750,2013,2015,-,0,0,IEEE Transactions on Emerging Topics in Computing,IEEE,Hybrid,1350,1750,1950,PSM,0,1,N/A
0377-2063,1955,2014,India,Institution of Electronics and Telecommunication Engineers,0,IETE Journal of Research,Taylor & Francis,Hybrid,N/A,2950,2950,PSM,1,0,12
0256-4602,1984,2014,India,Institution of Electronics and Telecommunication Engineers,0,IETE Technical Review,Taylor & Francis,Hybrid,N/A,2950,2950,PSM,1,0,12
2193-9616,2013,2017,-,0,0,In Silico Pharmacology,Springer Nature,Hybrid,1350,3000,3000,Health,0,1,12
0970-1915,1986,2013,India,Association of Clinical Biochemists of India,0,Indian Journal of Clinical Biochemistry,Springer Nature,Subscription,N/A,-,3000,PSM,1,0,12
0254-8860,1982,2009,India,Indian Society of Gastroenterology,0,Indian Journal of Gastroenterology,Springer Nature,Subscription,0,-,3000,Health,1,0,12
0973-0508,2004,2014,India,Neurotrauma Society of India,0,Indian Journal of Neurotrauma,Elsevier,Subscription,N/A,-,-,Health,1,0,
0019-5456,1934,2011,-,0,0,Indian Journal of Pediatrics,Springer Nature,Subscription,N/A,-,3000,Health,1,0,12
2193-9772,2012,2017,USA,"The Minerals, Metals & Materials Society",0,Integrating Materials and Manufacturing Innovation,Springer Nature,Hybrid,1500,3000,3000,PSM,0,1,12
1735-1472,2004,2012,Iran,0,Science and Research Branch Islamic Azad University,International Journal of Environmental Science and Technology,Springer Nature,Hybrid,200,3000,3000,PSM,0,1,12
1878-450X,2012,2016,Spain,0,"AZTI-Tecnalia, Basque Culinary Center, and Mugaritz",International Journal of Gastronomy and Food Science,Elsevier,Hybrid,0,3000,3000,LS,0,1,12
0731-1265,1973,2016,-,0,0,International Journal of Legal Information,Cambridge University Press,Subscription,0,-,2980,SSH,1,0,0
1735-6814,2007,2018,Iran,0,Gorgan University of Agricultural Sciences and Natural Resources,International Journal of Plant Production,Springer Nature,Hybrid,N/A,3000,3000,SSH,1,0,12
1477-3880,2003,2013,UK,0,Economics Network (University of Bristol),International Review of Economics Education,Elsevier,Hybrid,0,3000,1100,SSH,0,1,24
1029-3523,1972,2015,South Africa,Investment Analysts Society of South Africa,0,Investment Analysts Journal,Taylor & Francis,Hybrid,N/A,2950,2950,SSH,1,0,18
1735-1979,2004,2018,Iran,Iranian Association of Environmental Health,0,Iranian Journal of Environmental Health Science and Engineering,Springer Nature,Hybrid,859,3000,3000,Health,1,0,12
1026-1265,1992,2012,Iran,0,Iran Polymer and Petrochemical Institute,Iranian Polymer Journal (English Edition),Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
1530-5686,2001,2011,-,0,0,Jenda,Africa Resource Center,Hybrid,N/A,1500,4500,SSH,0,1,N/A
1214-021X,2003,2014,Czech Republic,0,University of South Bohemia,Journal of Applied Biomedicine,Elsevier,Subscription,0,-,3000,LS,0,1,12
1234-1983,1960,2011,Poland,0,Institute of Plant Genetics of the Polish Academy of Sciences,Journal of Applied Genetics,Springer Nature,Hybrid,N/A,3000,3000,LS,1,0,12
2251-1717,2012,2015,-,0,0,Journal of Astronomical Instrumentation,World Scientific Pub Co Pte Lt,Hybrid,N/A,1500,2000,PSM,0,1,12
2213-5383,2013,2015,-,0,0,Journal of Cancer Policy,Elsevier,Hybrid,1650,1600,1600,LS,0,1,12
1755-5345,2008,2013,-,0,0,Journal of Choice Modelling,Elsevier,Subscription,0,-,1800,PSM,0,1,24
1550-3984,2005,2006,-,0,0,Journal of Construction Education,Taylor & Francis,Subscription,N/A,-,2950,PSM,1,0,18
1475-7516,2003,2005,-,0,Institute of Physics,Journal of Cosmology and Astroparticle Physics,IOP Press,Subscription,0,-,2700,PSM,0,1,12
2251-6581,2002,2018,Iran,0,"Tehran University of Medical Sciences, Endocrinology and Metabolism Research Institute",Journal of Diabetes & Metabolic Disorders,Springer Nature,Hybrid,735,3000,3000,Health,1,0,12
2052-336X,2004,2018,Iran,"Iranian Association of Environmental Health, Tehran University of Medical Sciences",0,Journal of Environmental Health Science and Engineering,Springer Nature,Hybrid,1045,3000,3000,Health,0,1,12
1473-8376,2002,2012,UK,0,"Hospitality, Leisure, Sport & Tourism Network (Oxford University)","Journal of Hospitality, Leisure, Sports and Tourism Education",Elsevier,Subscription,N/A,-,1100,SSH,0,1,24
1525-2019,2000,2013,USA,American Academy of Advertising,0,Journal of Interactive Advertising,Taylor & Francis,Hybrid,N/A,2950,2950,SSH,0,1,18
1955-2629,2007,2011,France,0,University of Nice Sophia Antipolis,"Journal of Language Contact : Evolution of Languages, Contact and Discourse",Brill,Hybrid,N/A,2800,0,SSH,0,1,24
0949-5932,1991,2005,-,0,0,Journal of Lie Theory,Heldermann Verlag,Subscription,0,-,-,PSM,1,0,
1402-9251,1994,2009,-,0,0,Journal of Nonlinear Mathematical Physics,Taylor & Francis,Subscription,0,-,750,PSM,1,0,6
0022-3131,1964,2012,Japan,Atomic Energy Society of Japan,0,Journal of Nuclear Science and Technology,Taylor & Francis,Subscription,N/A,-,2950,PSM,1,0,12
0972-978X,2004,2013,Malaysia,Asia Pacific Orthopaedic Association,0,Journal of Orthopaedics,Elsevier,Subscription,0,-,3000,Health,0,1,12
1703-289X,2002,2011,Canada,0,"Department of Religion and Culture, The University of Saskatchewan",Journal of Religion and Popular Culture,University of Toronto Press ,Subscription,0,-,3000,SSH,0,1,12
2210-4690,2011,2017,-,0,0,Journal of Remanufacturing,Springer Nature,Hybrid,1085,3000,3000,SSH,0,1,12
1678-5878,1979,2013,Brazil,Brazilian Society of Mechanical Sciences and Engineering,0,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
1735-207X,2004,2012,Iran,Iranian Chemical Society,0,Journal of the Iranian Chemical Society,Springer Nature,Hybrid,0,3000,3000,PSM,0,1,12
0035-8835,2003,2010,"UK, Ireland",0,Royal Colleges of Surgeons of Edinburgh and Royal College of Surgeons in Ireland,Journal of the Royal College of Surgeons of Edinburgh,Elsevier,Subscription,N/A,-,2500,Health,1,0,12
1948-822X,2010,2014,USA,Society for Social Work and Research,0,Journal of the Society for Social Work and Research,University of Chicago Press,Subscription,0,-,2500,SSH,0,1,12
1940-087X,2006,2009,-,0,0,Journal of Visualized Experiments,MyJove Corp.,Hybrid,0,3000,4200,LS,0,1,N/A
0075-5222,1973,2017,Venezuela,0,Universidad del Zulia,Kasmera,University of Zulia. School of Medicine. Department of Infectious and Tropical Diseases.,Subscription,0,-,N/A,LS,1,0,N/A
1995-0802,1980,2008,Russia,0,Russian Academy of Sciences and Kazan Federal University,Lobachevskii Journal of Mathematics,Springer Nature,Subscription,0,-,-,PSM,1,0,
1895-6106,2005,2012,Poland,0,University of Łódź,Lodz Papers in Pragmatics,De Gruyter,Subscription,N/A,-,2000,SSH,1,0,12
2212-9790,2002,2018,Netherlands,0,Centre for Maritime Research,Maritime Studies,Springer Nature,Hybrid,1085,3000,3000,SSH,1,0,12
1369-7021,1998,2017,-,0,0,Materials Today,Elsevier,Hybrid,3000,3000,3300,PSM,1,0,24
0025-7273,1957,2012,"UK, Ireland",European Association for the History of Medicine and Health,0,Medical History,Cambridge University Press,Hybrid,N/A,1350,2336,Health,1,0,0
0210-5691,1977,2013,Spain,"Spanish Society of Intensive Care Medicine and Coronary Units, Pan American and Iberian Federation of Societies of Intensive and Critical Care Medicine",0,Medicina Intensiva,Elsevier,Subscription,0,-,1500,Health,1,0,12
2214-5400,2013,2016,-,0,0,Meta Gene,Elsevier,Hybrid,1500,1500,1500,LS,0,1,12
0385-5600,1957,2008,Japan,"Japanese Society for Bacteriology, Japanese Society for Virology, Japanese Society for Host Defense Research",0,Microbiology and Immunology,Wiley,Subscription,N/A,-,2700,LS,1,0,12
0899-6180,1989,2012,USA,0,Central Missouri State University,Missouri Journal of Mathematical Sciences,Central Missouri State University,Subscription,150,150,150,PSM,1,0,
0027-7630,1950,2010,Japan,0,Nagoya University,Nagoya Mathematical Journal,Duke University Press,Subscription,0,-,2835,PSM,1,0,0
1519-566X,1972,2012,Brazil,Entomological Society of Brazil,0,Neotropical Entomology,Springer Nature,Hybrid,0,3000,3000,LS,1,0,12
1130-1473,1990,2012,Spain,Spanish Society of Neurosurgery,0,Neurocirugia,Elsevier,Subscription,0,-,3000,Health,1,0,
0028-3843,1967,2014,Poland,Polish Neurological Society,0,Neurologia i Neurochirurgia Polska,Elsevier,Subscription,150,-,-,Health,1,0,12
1939-4225,1987,2011,USA,0,"Adult Education and Human Resource Development graduate program in the College of Arts, Science, and Education at Florida International University, Miami.",New Horizons in Adult Education & Human Resource Development,Wiley,Subscription,0,-,-,SSH,0,1,
1507-5532,1999,2013,Poland,"Polish Society of Gastroenterology, Hepatology and Children's Nutrition",0,Pediatria Współczesna,Cornetis,Subscription,N/A,-,-,Health,1,0,
0917-2394,1991,2013,Japan,"Japanese Society of Pediatric Dentistry, the Pediatric Dentistry Association of Asia",0,Pediatric Dental Journal,Elsevier,Subscription,0,-,-,Health,1,0,
1734-1140,1949,2014,Poland,0,Institute of Pharmacology of the Polish Academy of Sciences,Pharmacological Reports,Elsevier,Subscription,0,-,1500,Health,1,0,12
2212-6864,2012,2015,-,0,0,Physics of the Dark Universe,Elsevier,Hybrid,2000,1000,1000,PSM,0,1,24
2352-4073,2015,2016,-,0,0,Plant Gene,Elsevier,Hybrid,1500,1500,1500,LS,0,1,12
1349-0540,1970,2010,Japan,The Society of Polymer Science,0,Polymer Journal,Springer Nature,Subscription,0,-,3300,PSM,1,0,12
1546-3222,2004,2010,-,0,0,Proceedings of the American Thoracic Society,American Thoracic Society,Subscription,0,-,-,Health,0,1,
0137-723X,1971,2005,Poland,Polish Pediatric Society,0,Przeglad Pediatryczny,Cornetis,Subscription,0,-,-,Health,1,0,
2363-9555,2015,2018,-,0,0,Research in Number Theory,Springer Nature,Hybrid,1085,3000,3000,PSM,0,1,12
2197-9847,2014,2018,-,0,0,Research in the Mathematical Sciences,Springer Nature,Hybrid,980,3000,3000,PSM,0,1,12
1806-9959,1978,2013,Brazil,São Paulo Botany Society,0,Revista Brasileira de Botanica,Springer Nature,Hybrid,0,3000,3000,LS,1,0,12
0300-8932,1948,2014,Spain,"Spanish Society of Cardiology,",0,Revista Espanola de Cardiologia,Elsevier,Subscription,0,-,-,Health,1,0,
1699-8855,1968,2010,Spain,Spanish Society of Pathology and the Spanish Society of Cytology,0,Revista Espanola de Patologia,Elsevier,Subscription,0,-,-,Health,1,0,
2007-4085,1941,2016,Mexico,Mexican Society of Urology,0,Revista Mexicana de Urología,Elsevier,Subscription,0,-,-,Health,1,0,
1221-356X,2004,2010,-,0,0,Romanian Journal of Endocrinology,Acta Endocrinologica Foundation,Subscription,0,-,-,Health,1,0,
1869-1889,1958,2017,China,0,"Chinese Academy of Sciences and the National Natural Science Foundation of China, and published by Science China Press",Science China Life Sciences,Springer Nature,Hybrid,0,50-350/page,50-350/page,LS,1,0,12
0036-9330,1956,2011,UK,0,Royal College of Physicians and Surgeons of Glasgow,Scottish Medical Journal,Royal Society of Medicine Press,Hybrid,0,3000,3000,Health,1,0,
1838-0743,2011,2013,Australia,0,"Institute for Social Research, Swinburne University of Technology",Settler Colonial Studies,Taylor & Francis,Hybrid,0,2950,2950,SSH,0,1,18
1933-5415,2006,2017,-,0,0,Social Sudies Research and Practice,Emerald,Hybrid,0,2000,2350,SSH,0,1,0
2214-9937,2014,2016,-,0,0,Sustainable Materials and Technologies,Elsevier,Hybrid,1100,1100,2200,PSM,0,1,24
1434-4599,1998,2005,-,0,0,The International Journal of Transgenderism,The Haworth Press,Subscription,0,-,2950,SSH,0,1,12
1549-9243,2005,2011,-,0,0,The New Educator (Online),Taylor & Francis,Subscription,N/A,-,2950,SSH,1,0,18
1982-5676,1976,2015,Brazil,Brazilian Phytopathology Society,0,Tropical Plant Pathology,Springer Nature,Hybrid,0,3000,3000,LS,1,0,12
1303-829X,1976,2015,Turkey,Turkish Biochemical Society,0,Turk Biyokimya Dergisi,De Gruyter,Hybrid,120,1500,2000,PSM,1,0,12
1995-5855,2007,2013,-,0,0,Vienna Journal on International Constitutional Law,De Gruyter,Hybrid,0,2450,2000,SSH,0,1,12
1525-4488,1999,2008,-,0,0,West Africa Review,AfricaResource,Subscription,0,-,-,SSH,0,1,
1672-1977,2003,2013,China,Shanghai Association of Integrative Medicine and Shanghai Changhai Hospital,0,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,Elsevier,Subscription,0,-,1800,Health,1,0,12
0289-0003,1984,2005,Japan,Zoological Society of Japan,0,Zoological Science,Zoological Society of Japan,Subscription,N/A,-,-,LS,1,0,