MeshHeading	count	Unconquerables	% Unconquerables	MEDLINE journals OA compliant	% MEDLINE journals OA compliant
Geriatric Nursing	10	0	0.0	10	1.0
Geriatric Psychiatry	4	0	0.0	4	1.0
Geriatrics	69	4	0.05797101449275361	65	0.9420289855072463
Germ Cells	2	0	0.0	2	1.0
Germany	6	0	0.0	6	1.0
Germany, West	4	0	0.0	4	1.0
Glaucoma	3	0	0.0	3	1.0
Global Health	21	0	0.0	21	1.0
Glycerides	1	0	0.0	1	1.0
Glycolipids	1	0	0.0	1	1.0
Glycoproteins	1	0	0.0	1	1.0
Gold Alloys	1	0	0.0	1	1.0
Gonadal Steroid Hormones	1	0	0.0	1	1.0
Government	5	0	0.0	5	1.0
Government Agencies	1	0	0.0	1	1.0
Government Programs	1	0	0.0	1	1.0
Granuloma	2	0	0.0	2	1.0
Gravitation	2	0	0.0	2	1.0
Greece	2	0	0.0	2	1.0
Group Practice	9	0	0.0	9	1.0
Growth	23	2	0.08695652173913042	21	0.9130434782608695
Growth Disorders	2	0	0.0	2	1.0
Growth Hormone	1	0	0.0	1	1.0
Growth Substances	6	0	0.0	6	1.0
Growth and Development	1	0	0.0	1	1.0
Guided Tissue Regeneration	3	0	0.0	3	1.0
Guyana	1	0	0.0	1	1.0
Gymnastics	1	0	0.0	1	1.0
Gynecologic Surgical Procedures	1	0	0.0	1	1.0
Gynecology	128	4	0.03125	124	0.96875
HIV	1	0	0.0	1	1.0
HIV Infections	54	2	0.037037037037037035	52	0.9629629629629629
HLA Antigens	1	0	0.0	1	1.0
HLA-D Antigens	2	0	0.0	2	1.0
Hallucinogens	2	0	0.0	2	1.0
Hand	18	1	0.05555555555555555	17	0.9444444444444444
Hand Deformities	2	0	0.0	2	1.0
Hand Injuries	4	1	0.25	3	0.75
Handwriting	1	0	0.0	1	1.0
Harm Reduction	1	0	0.0	1	1.0
Harmful Algal Bloom	1	0	0.0	1	1.0
Hawaii	6	1	0.16666666666666666	5	0.8333333333333334
Hazardous Substances	6	0	0.0	6	1.0
Hazardous Waste	5	0	0.0	5	1.0
Head	14	2	0.14285714285714285	12	0.8571428571428571
Head and Neck Neoplasms	1	0	0.0	1	1.0
Headache	9	0	0.0	9	1.0
Health	37	1	0.027027027027027032	36	0.972972972972973
Health Behavior	5	0	0.0	5	1.0
Health Care Costs	12	0	0.0	12	1.0
Health Care Reform	4	1	0.25	3	0.75
Health Care Sector	4	1	0.25	3	0.75
Health Education	35	0	0.0	35	1.0
Health Education, Dental	2	0	0.0	2	1.0
Health Equity	1	1	1.0	0	0.0
Health Expenditures	2	0	0.0	2	1.0
Health Facilities	10	0	0.0	10	1.0
Health Facility Administration	14	0	0.0	14	1.0
Health Facility Administrators	1	0	0.0	1	1.0
Health Facility Environment	6	0	0.0	6	1.0
Health Facility Planning	3	0	0.0	3	1.0
Health Inequities	1	1	1.0	0	0.0
Health Knowledge, Attitudes, Practice	3	1	0.3333333333333333	2	0.6666666666666666
Health Literacy	1	0	0.0	1	1.0
Health Maintenance Organizations	9	0	0.0	9	1.0
Health Occupations	12	0	0.0	12	1.0
Health Personnel	8	0	0.0	8	1.0
Health Physics	7	1	0.14285714285714285	6	0.8571428571428571
Health Planning	19	0	0.0	19	1.0
Health Planning Support	4	0	0.0	4	1.0
Health Policy	65	3	0.04615384615384616	62	0.9538461538461539
Health Promotion	26	3	0.1153846153846154	23	0.8846153846153846
Health Resorts	2	1	0.5	1	0.5
Health Resources	4	0	0.0	4	1.0
Health Services	46	1	0.021739130434782608	45	0.9782608695652174
Health Services Accessibility	11	0	0.0	11	1.0
Health Services Administration	36	1	0.027777777777777776	35	0.9722222222222222
Health Services Needs and Demand	1	0	0.0	1	1.0
Health Services Research	20	0	0.0	20	1.0
Health Services for the Aged	15	1	0.06666666666666668	14	0.9333333333333333
Health Status	4	0	0.0	4	1.0
Health Status Indicators	6	0	0.0	6	1.0
Health Surveys	10	5	0.5	5	0.5
Health Systems Agencies	1	0	0.0	1	1.0
Health Systems Plans	1	0	0.0	1	1.0
Health Workforce	18	0	0.0	18	1.0
Healthcare Disparities	4	0	0.0	4	1.0
Healthy Aging	1	0	0.0	1	1.0
Hearing	15	0	0.0	15	1.0
Hearing Aids	3	0	0.0	3	1.0
Hearing Disorders	24	0	0.0	24	1.0
Hearing Loss, Noise-Induced	1	0	0.0	1	1.0
Heart	15	0	0.0	15	1.0
Heart Arrest	1	0	0.0	1	1.0
Heart Defects, Congenital	3	0	0.0	3	1.0
Heart Diseases	20	2	0.1	18	0.9
Heart Failure	10	0	0.0	10	1.0
Heart Function Tests	2	0	0.0	2	1.0
Heart Transplantation	2	0	0.0	2	1.0
Heart Valve Diseases	1	0	0.0	1	1.0
Heat-Shock Response	1	0	0.0	1	1.0
Helicobacter	1	0	0.0	1	1.0
Helicobacter Infections	1	0	0.0	1	1.0
Helminths	2	0	0.0	2	1.0
Hematologic Agents	4	0	0.0	4	1.0
Hematologic Diseases	31	4	0.12903225806451613	27	0.8709677419354839
Hematologic Neoplasms	5	1	0.2	4	0.8
Hematologic Tests	3	1	0.3333333333333333	2	0.6666666666666666
Hematology	61	5	0.08196721311475409	56	0.9180327868852459
Hematopoietic Stem Cell Transplantation	5	0	0.0	5	1.0
Hematopoietic Stem Cells	4	0	0.0	4	1.0
Hematopoietic System	1	0	0.0	1	1.0
Hemodialysis, Home	1	0	0.0	1	1.0
Hemodynamics	1	0	0.0	1	1.0
Hemoglobins	1	0	0.0	1	1.0
Hemophilia A	1	0	0.0	1	1.0
Hemorheology	1	0	0.0	1	1.0
Hemorrhage	2	0	0.0	2	1.0
Hemorrhagic Disorders	2	0	0.0	2	1.0
Hemostasis	13	0	0.0	13	1.0
Hepatitis, Viral, Animal	1	0	0.0	1	1.0
Hepatitis, Viral, Human	1	0	0.0	1	1.0
Herbal Medicine	6	0	0.0	6	1.0
Hernia	1	0	0.0	1	1.0
Herpesviridae Infections	1	0	0.0	1	1.0
Heterocyclic Compounds	1	0	0.0	1	1.0
Higher Nervous Activity	3	0	0.0	3	1.0
Hip	2	0	0.0	2	1.0
Hip Joint	2	0	0.0	2	1.0
Hippocampus	1	0	0.0	1	1.0
Hispanic Americans	1	1	1.0	0	0.0
Histamine	1	0	0.0	1	1.0
Histocompatibility Antigens	1	0	0.0	1	1.0
Histocompatibility Testing	1	0	0.0	1	1.0
Histocytochemistry	24	0	0.0	24	1.0
Histological Techniques	5	0	0.0	5	1.0
Histology	27	1	0.037037037037037035	26	0.9629629629629629
History	7	0	0.0	7	1.0
History of Dentistry	6	1	0.16666666666666666	5	0.8333333333333334
History of Medicine	89	3	0.033707865168539325	86	0.9662921348314607
History of Nursing	6	1	0.16666666666666666	5	0.8333333333333334
History of Pharmacy	13	0	0.0	13	1.0
History, Ancient	1	0	0.0	1	1.0
History, Modern 1601-	1	0	0.0	1	1.0
Holistic Health	7	0	0.0	7	1.0
Holistic Nursing	1	0	0.0	1	1.0
Home Care Agencies	2	0	0.0	2	1.0
Home Care Services	16	0	0.0	16	1.0
Home Health Nursing	1	0	0.0	1	1.0
Home Nursing	1	0	0.0	1	1.0
Homeopathy	12	0	0.0	12	1.0
Homeostasis	5	0	0.0	5	1.0
Homes for the Aged	2	0	0.0	2	1.0
Homicide	1	0	0.0	1	1.0
Homosexuality	2	0	0.0	2	1.0
Homosexuality, Female	1	0	0.0	1	1.0
Hormones	25	1	0.04	24	0.96
Horse Diseases	4	0	0.0	4	1.0
Horses	1	0	0.0	1	1.0
Hospice Care	3	0	0.0	3	1.0
Hospices	3	0	0.0	3	1.0
Hospital Administration	69	0	0.0	69	1.0
Hospital Departments	7	0	0.0	7	1.0
Hospital Design and Construction	5	0	0.0	5	1.0
Hospital Information Systems	2	1	0.5	1	0.5
Hospital Records	1	0	0.0	1	1.0
Hospital Restructuring	1	0	0.0	1	1.0
Hospital Volunteers	1	0	0.0	1	1.0
Hospital-Patient Relations	1	0	0.0	1	1.0
Hospital-Physician Joint Ventures	3	0	0.0	3	1.0
Hospital-Physician Relations	1	0	0.0	1	1.0
Hospitalists	3	0	0.0	3	1.0
Hospitalization	2	0	0.0	2	1.0
Hospitals	83	0	0.0	83	1.0
Hospitals, Chronic Disease	1	0	0.0	1	1.0
Hospitals, General	1	0	0.0	1	1.0
Hospitals, Military	2	0	0.0	2	1.0
Hospitals, Osteopathic	2	0	0.0	2	1.0
Hospitals, Psychiatric	7	0	0.0	7	1.0
Hospitals, Special	5	0	0.0	5	1.0
Hospitals, State	1	0	0.0	1	1.0
Hospitals, Teaching	2	0	0.0	2	1.0
Hospitals, Urban	1	0	0.0	1	1.0
Host-Parasite Interactions	4	1	0.25	3	0.75
Housekeeping	1	0	0.0	1	1.0
Human Development	6	0	0.0	6	1.0
Human Experimentation	4	1	0.25	3	0.75
Human Rights	5	0	0.0	5	1.0
Humanism	1	0	0.0	1	1.0
Humanities	6	0	0.0	6	1.0
Hungary	4	0	0.0	4	1.0
Huntington Disease	1	0	0.0	1	1.0
Hybrid Cells	2	0	0.0	2	1.0
Hybridomas	5	0	0.0	5	1.0
Hydrotherapy	5	0	0.0	5	1.0
Hygiene	41	2	0.04878048780487805	39	0.9512195121951219
Hyperbaric Oxygenation	2	2	1.0	0	0.0
Hyperkinesis	1	0	0.0	1	1.0
Hyperlipidemias	1	0	0.0	1	1.0
Hypersensitivity	61	6	0.09836065573770493	55	0.9016393442622951
Hypertension	24	0	0.0	24	1.0
Hypertension, Pregnancy-Induced	1	0	0.0	1	1.0
Hypertension, Renal	2	0	0.0	2	1.0
Hyperthermia, Induced	1	0	0.0	1	1.0
Hypnosis	4	0	0.0	4	1.0
Hypothermia, Induced	2	0	0.0	2	1.0
Iceland	3	0	0.0	3	1.0
Idaho	2	0	0.0	2	1.0
Ileostomy	2	0	0.0	2	1.0
Illinois	3	0	0.0	3	1.0
Image Cytometry	1	0	0.0	1	1.0
Image Enhancement	2	0	0.0	2	1.0
Image Interpretation, Computer-Assisted	1	0	0.0	1	1.0
Image Processing, Computer-Assisted	9	0	0.0	9	1.0
Immune System	16	2	0.125	14	0.875
Immune System Diseases	31	3	0.0967741935483871	28	0.9032258064516129
Immune System Phenomena	8	0	0.0	8	1.0
Immunity	43	5	0.11627906976744184	38	0.8837209302325582
Immunity, Cellular	8	0	0.0	8	1.0
Immunity, Innate	4	0	0.0	4	1.0
Immunity, Mucosal	1	0	0.0	1	1.0
Immunization	1	0	0.0	1	1.0
Immunization Programs	1	0	0.0	1	1.0
Immunization, Passive	4	0	0.0	4	1.0
Immunoassay	2	0	0.0	2	1.0
Immunochemistry	5	1	0.2	4	0.8
Immunogenetic Phenomena	1	0	0.0	1	1.0
Immunogenetics	7	0	0.0	7	1.0
Immunohistochemistry	1	0	0.0	1	1.0
Immunologic Deficiency Syndromes	2	0	0.0	2	1.0
Immunologic Factors	1	0	0.0	1	1.0
Immunologic Techniques	10	0	0.0	10	1.0
Immunologic Tests	4	0	0.0	4	1.0
Immunosuppression	1	0	0.0	1	1.0
Immunotherapy	20	1	0.05	19	0.95
Immunotherapy, Active	1	0	0.0	1	1.0
Immunotherapy, Adoptive	1	0	0.0	1	1.0
Implementation Science	1	1	1.0	0	0.0
India	14	1	0.07142857142857142	13	0.9285714285714286
Indiana	2	0	0.0	2	1.0
Indians, North American	3	1	0.3333333333333333	2	0.6666666666666666
Indonesia	1	0	0.0	1	1.0
Industrial Microbiology	1	0	0.0	1	1.0
Industrial Waste	2	0	0.0	2	1.0
Industry	1	0	0.0	1	1.0
Infant	99	2	0.020202020202020204	97	0.9797979797979798
Infant Care	8	0	0.0	8	1.0
Infant Nutrition Disorders	1	0	0.0	1	1.0
Infant Nutritional Physiological Phenomena	3	0	0.0	3	1.0
Infant Welfare	1	0	0.0	1	1.0
Infant, Newborn	9	1	0.1111111111111111	8	0.8888888888888888
Infant, Newborn, Diseases	18	1	0.05555555555555555	17	0.9444444444444444
Infection Control	11	1	0.09090909090909093	10	0.9090909090909091
Infections	25	1	0.04	24	0.96
Infertility	6	3	0.5	3	0.5
Infertility, Male	3	0	0.0	3	1.0
Inflammation	16	0	0.0	16	1.0
Inflammatory Bowel Diseases	2	0	0.0	2	1.0
Influenza, Human	1	0	0.0	1	1.0
Informatics	2	0	0.0	2	1.0
Information Dissemination	1	0	0.0	1	1.0
Information Management	3	1	0.3333333333333333	2	0.6666666666666666
Information Services	4	0	0.0	4	1.0
Information Storage and Retrieval	3	0	0.0	3	1.0
Information Systems	19	1	0.05263157894736842	18	0.9473684210526315
Information Theory	2	0	0.0	2	1.0
Informed Consent	2	1	0.5	1	0.5
Infusions, Parenteral	17	1	0.05882352941176471	16	0.9411764705882353
Inhalation Exposure	1	0	0.0	1	1.0
Injections	3	0	0.0	3	1.0
Insect Control	1	0	0.0	1	1.0
Insect Vectors	1	0	0.0	1	1.0
Insecta	8	0	0.0	8	1.0
Insecticides	2	0	0.0	2	1.0
Inservice Training	3	0	0.0	3	1.0
Instinct	1	0	0.0	1	1.0
Insurance	3	0	0.0	3	1.0
Insurance Benefits	1	0	0.0	1	1.0
Insurance Claim Reporting	1	0	0.0	1	1.0
Insurance Claim Review	1	0	0.0	1	1.0
Insurance, Accident	1	0	0.0	1	1.0
Insurance, Dental	2	0	0.0	2	1.0
Insurance, Health	33	2	0.060606060606060615	31	0.9393939393939394
Insurance, Hospitalization	1	0	0.0	1	1.0
Insurance, Liability	1	0	0.0	1	1.0
Insurance, Life	12	0	0.0	12	1.0
Insurance, Pharmaceutical Services	1	0	0.0	1	1.0
Integrative Medicine	3	0	0.0	3	1.0
Intellectual Disability	22	0	0.0	22	1.0
Intelligence	1	0	0.0	1	1.0
Intensive Care Units	11	0	0.0	11	1.0
Intensive Care Units, Pediatric	1	0	0.0	1	1.0
Intensive Care, Neonatal	2	0	0.0	2	1.0
Interferons	4	0	0.0	4	1.0
Interior Design and Furnishings	3	0	0.0	3	1.0
Internal Medicine	47	6	0.1276595744680851	41	0.8723404255319149
International Cooperation	6	0	0.0	6	1.0
Internationality	1	0	0.0	1	1.0
Internet	4	0	0.0	4	1.0
Internship and Residency	2	1	0.5	1	0.5
Interpersonal Relations	4	0	0.0	4	1.0
Interprofessional Relations	2	0	0.0	2	1.0
Intestines	1	0	0.0	1	1.0
Intracellular Membranes	1	0	0.0	1	1.0
Intraoperative Care	1	0	0.0	1	1.0
Intrauterine Devices	1	0	0.0	1	1.0
Inuit	1	0	0.0	1	1.0
Inuits	3	1	0.3333333333333333	2	0.6666666666666666
Invertebrates	4	1	0.25	3	0.75
Investigational New Drug Application	1	0	0.0	1	1.0
Ion Channels	3	0	0.0	3	1.0
Ion Exchange	1	0	0.0	1	1.0
Ions	5	1	0.2	4	0.8
Iran	1	0	0.0	1	1.0
Iraq	1	0	0.0	1	1.0
Ireland	5	0	0.0	5	1.0
Islets of Langerhans	1	0	0.0	1	1.0
Isoenzymes	1	0	0.0	1	1.0
Isomerism	1	0	0.0	1	1.0
Isotopes	1	0	0.0	1	1.0
Israel	3	1	0.3333333333333333	2	0.6666666666666666
Italy	14	1	0.07142857142857142	13	0.9285714285714286
Jamaica	1	0	0.0	1	1.0
Japan	9	1	0.1111111111111111	8	0.8888888888888888
Jaw	1	0	0.0	1	1.0
Jaw Abnormalities	2	0	0.0	2	1.0
Jews	1	0	0.0	1	1.0
Job Satisfaction	1	0	0.0	1	1.0
Joint Diseases	11	3	0.2727272727272727	8	0.7272727272727273
Jurisprudence	74	5	0.06756756756756757	69	0.9324324324324325
Juvenile Delinquency	2	0	0.0	2	1.0
Kazakhstan	1	0	0.0	1	1.0
Kentucky	4	0	0.0	4	1.0
Kidney	11	1	0.09090909090909093	10	0.9090909090909091
Kidney Diseases	54	6	0.1111111111111111	48	0.8888888888888888
Kidney Failure, Chronic	1	0	0.0	1	1.0
Kidney Neoplasms	1	0	0.0	1	1.0
Kidney Transplantation	10	0	0.0	10	1.0
Kidneys, Artificial	3	0	0.0	3	1.0
Kinetics	3	0	0.0	3	1.0
Knee	4	0	0.0	4	1.0
Knee Injuries	2	0	0.0	2	1.0
Knee Joint	2	0	0.0	2	1.0
Knee Prosthesis	1	0	0.0	1	1.0
Korea	6	1	0.16666666666666666	5	0.8333333333333334
Kyrgyzstan	1	0	0.0	1	1.0
Labor, Obstetric	4	0	0.0	4	1.0
Laboratories	6	0	0.0	6	1.0
Laboratories, Dental	4	0	0.0	4	1.0
Laboratory Animal Science	4	2	0.5	2	0.5
Laboratory Infection	1	0	0.0	1	1.0
Lactation	3	0	0.0	3	1.0
Language	3	0	0.0	3	1.0
Language Development	1	0	0.0	1	1.0
Language Disorders	9	0	0.0	9	1.0
Language Therapy	1	0	0.0	1	1.0
Laparoscopy	8	1	0.125	7	0.875
Larynx	1	0	0.0	1	1.0
Laser Therapy	14	1	0.07142857142857142	13	0.9285714285714286
Lasers	5	1	0.2	4	0.8
Latin America	1	0	0.0	1	1.0
Leadership	9	0	0.0	9	1.0
Learning	13	0	0.0	13	1.0
Learning Disabilities	4	0	0.0	4	1.0
Leg Injuries	1	0	0.0	1	1.0
Leg Ulcer	1	0	0.0	1	1.0
Legislation as Topic	12	0	0.0	12	1.0
Legislation, Drug	3	0	0.0	3	1.0
Legislation, Food	2	0	0.0	2	1.0
Legislation, Hospital	6	0	0.0	6	1.0
Legislation, Medical	26	3	0.1153846153846154	23	0.8846153846153846
Legislation, Nursing	4	0	0.0	4	1.0
Legislation, Veterinary	1	0	0.0	1	1.0
Lens, Crystalline	2	0	0.0	2	1.0
Lenses	1	0	0.0	1	1.0
Lenses, Intraocular	4	0	0.0	4	1.0
Leprosy	20	0	0.0	20	1.0
Leukapheresis	2	0	0.0	2	1.0
Leukemia	4	0	0.0	4	1.0
Leukocytes	2	0	0.0	2	1.0
Leukotrienes	1	0	0.0	1	1.0
Liability, Legal	1	0	0.0	1	1.0
Libraries	1	0	0.0	1	1.0
Libraries, Hospital	2	0	0.0	2	1.0
Libraries, Medical	5	0	0.0	5	1.0
Library Administration	1	0	0.0	1	1.0
Library Associations	1	0	0.0	1	1.0
Library Science	10	0	0.0	10	1.0
Library Services	1	0	0.0	1	1.0
Licensure, Nursing	1	0	0.0	1	1.0
Life Change Events	1	1	1.0	0	0.0
Life Expectancy	3	0	0.0	3	1.0
Life Style	1	0	0.0	1	1.0
Life Support Systems	2	0	0.0	2	1.0
Light	2	0	0.0	2	1.0
Lighting	1	0	0.0	1	1.0
Linguistics	2	0	0.0	2	1.0
Lipid Metabolism	3	0	0.0	3	1.0
Lipids	11	0	0.0	11	1.0
Lipoproteins	1	0	0.0	1	1.0
Liposomes	2	0	0.0	2	1.0
Lipoxygenase	1	0	0.0	1	1.0
Literature	3	0	0.0	3	1.0
Literature, Modern	1	0	0.0	1	1.0
Lithotripsy	2	0	0.0	2	1.0
Lithuania	1	0	0.0	1	1.0
Liver	10	0	0.0	10	1.0
Liver Diseases	37	1	0.027027027027027032	36	0.972972972972973
Liver Neoplasms	2	0	0.0	2	1.0
Liver Transplantation	2	0	0.0	2	1.0
Locomotion	1	0	0.0	1	1.0
London	2	0	0.0	2	1.0
Long-Term Care	16	0	0.0	16	1.0
Longevity	3	0	0.0	3	1.0
Longitudinal Studies	1	0	0.0	1	1.0
Los Angeles	1	0	0.0	1	1.0
Louisiana	2	0	0.0	2	1.0
Low-Level Light Therapy	1	0	0.0	1	1.0
Luminescence	1	0	0.0	1	1.0
Luminescent Measurements	1	0	0.0	1	1.0
Lung	5	0	0.0	5	1.0
Lung Diseases	49	1	0.020408163265306117	48	0.9795918367346939
Lung Diseases, Interstitial	1	0	0.0	1	1.0
Lung Neoplasms	3	0	0.0	3	1.0
Lung Transplantation	1	0	0.0	1	1.0
Lupus Erythematosus, Systemic	2	0	0.0	2	1.0
Lymphatic Diseases	3	0	0.0	3	1.0
Lymphatic System	7	1	0.14285714285714285	6	0.8571428571428571
Lymphatic Vessels	1	0	0.0	1	1.0
Lymphokines	3	0	0.0	3	1.0
Lymphoma	5	0	0.0	5	1.0
Lysosomes	1	0	0.0	1	1.0
Macromolecular Substances	13	0	0.0	13	1.0
Magnesium	3	0	0.0	3	1.0
Magnetic Resonance Angiography	1	0	0.0	1	1.0
Magnetic Resonance Imaging	8	0	0.0	8	1.0
Magnetic Resonance Spectroscopy	15	0	0.0	15	1.0
Maine	4	0	0.0	4	1.0
Maintenance and Engineering, Hospital	6	0	0.0	6	1.0
Malaria	12	0	0.0	12	1.0
Malaysia	1	0	0.0	1	1.0
Male Urogenital Diseases	7	1	0.14285714285714285	6	0.8571428571428571
Mali	1	1	1.0	0	0.0
Malocclusion	4	0	0.0	4	1.0
Malpractice	3	0	0.0	3	1.0
Mammals	4	0	0.0	4	1.0
Mammary Glands, Animal	1	0	0.0	1	1.0
Mammary Neoplasms, Animal	1	0	0.0	1	1.0
Man-Machine Systems	3	0	0.0	3	1.0
Managed Care Programs	26	4	0.15384615384615385	22	0.8461538461538461
Manipulation, Chiropractic	1	0	0.0	1	1.0
Manipulation, Orthopedic	4	0	0.0	4	1.0
Manipulation, Osteopathic	2	0	0.0	2	1.0
Manufactured Materials	2	0	0.0	2	1.0
Marine Biology	10	2	0.2	8	0.8
Marketing of Health Services	19	0	0.0	19	1.0
Marriage	6	1	0.16666666666666666	5	0.8333333333333334
Maryland	6	0	0.0	6	1.0
Mass Screening	1	0	0.0	1	1.0
Mass Spectrometry	8	0	0.0	8	1.0
Massachusetts	2	0	0.0	2	1.0
Massage	1	0	0.0	1	1.0
Mastication	1	0	0.0	1	1.0
Materia Medica	2	1	0.5	1	0.5
Materials Management, Hospital	9	0	0.0	9	1.0
Materials Testing	4	0	0.0	4	1.0
Maternal Health	1	1	1.0	0	0.0
Maternal Health Services	1	0	0.0	1	1.0
Maternal Nutritional Physiological Phenomena	1	0	0.0	1	1.0
Maternal Welfare	5	0	0.0	5	1.0
Maternal-Child Health Services	1	1	1.0	0	0.0
Maternal-Child Nursing	3	0	0.0	3	1.0
Mathematical Computing	2	0	0.0	2	1.0
Mathematics	11	1	0.09090909090909093	10	0.9090909090909091
Maxilla	11	0	0.0	11	1.0
Maxillofacial Development	2	0	0.0	2	1.0
Maxillofacial Injuries	3	0	0.0	3	1.0
Maxillofacial Prosthesis	1	1	1.0	0	0.0
Meat	1	0	0.0	1	1.0
Medicaid	5	0	0.0	5	1.0
Medical Assistance	1	0	0.0	1	1.0
Medical Errors	1	0	0.0	1	1.0
Medical Illustration	6	0	0.0	6	1.0
Medical Indigency	1	0	0.0	1	1.0
Medical Informatics	35	2	0.057142857142857134	33	0.9428571428571428
Medical Informatics Applications	6	1	0.16666666666666666	5	0.8333333333333334
Medical Informatics Computing	3	1	0.3333333333333333	2	0.6666666666666666
Medical Missions	2	0	0.0	2	1.0
Medical Oncology	59	6	0.1016949152542373	53	0.8983050847457628
Medical Record Administrators	4	1	0.25	3	0.75
Medical Records	20	2	0.1	18	0.9
Medical Records Systems, Computerized	2	0	0.0	2	1.0
Medical Secretaries	1	0	0.0	1	1.0
Medical Staff	2	0	0.0	2	1.0
Medical Staff, Hospital	4	0	0.0	4	1.0
Medical Waste	4	0	0.0	4	1.0
Medically Underserved Area	2	0	0.0	2	1.0
Medicare	10	0	0.0	10	1.0
Medication Errors	1	1	1.0	0	0.0
Medicine	1721	86	0.04997094712376525	1635	0.9500290528762347
Medicine in Literature	1	0	0.0	1	1.0
Medicine in the Arts	1	0	0.0	1	1.0
Medicine, African Traditional	1	0	0.0	1	1.0
Medicine, Ayurvedic	1	0	0.0	1	1.0
Medicine, Chinese Traditional	6	2	0.3333333333333333	4	0.6666666666666666
Medicine, East Asian Traditional	10	1	0.1	9	0.9
Medicine, Traditional	2	0	0.0	2	1.0
Mediterranean Region	3	0	0.0	3	1.0
Melanoma	3	0	0.0	3	1.0
Membranes	7	0	0.0	7	1.0
Membranes, Artificial	1	0	0.0	1	1.0
Memory	6	0	0.0	6	1.0
Memory Disorders	1	0	0.0	1	1.0
Men	3	0	0.0	3	1.0
Menopause	7	0	0.0	7	1.0
Mental Disorders	143	13	0.09090909090909093	130	0.9090909090909091
Mental Health	32	4	0.125	28	0.875
Mental Health Services	28	1	0.03571428571428571	27	0.9642857142857143
Mental Processes	3	0	0.0	3	1.0
Meridians	1	0	0.0	1	1.0
Meta-Analysis as Topic	3	0	0.0	3	1.0
Metabolic Diseases	37	1	0.027027027027027032	36	0.972972972972973
Metabolic Syndrome	2	0	0.0	2	1.0
Metabolism	31	0	0.0	31	1.0
Metabolism, Inborn Errors	1	1	1.0	0	0.0
Metabolomics	1	1	1.0	0	0.0
Metals	6	1	0.16666666666666666	5	0.8333333333333334
Metamorphosis, Biological	1	0	0.0	1	1.0
Methadone	1	0	0.0	1	1.0
Mexico	10	1	0.1	9	0.9
Mice	2	0	0.0	2	1.0
Michigan	5	0	0.0	5	1.0
MicroRNAs	1	0	0.0	1	1.0
Microalgae	1	0	0.0	1	1.0
Microbiological Phenomena	13	0	0.0	13	1.0
Microbiological Techniques	12	1	0.08333333333333333	11	0.9166666666666666
Microbiology	183	15	0.08196721311475409	168	0.9180327868852459
Microchemistry	5	0	0.0	5	1.0
Microcirculation	4	0	0.0	4	1.0
Microcomputers	1	0	0.0	1	1.0
Microfilming	1	0	0.0	1	1.0
Microscopy	21	0	0.0	21	1.0
Microscopy, Electron	15	0	0.0	15	1.0
Microscopy, Electron, Scanning	4	0	0.0	4	1.0
Microsurgery	4	0	0.0	4	1.0
Microwaves	3	0	0.0	3	1.0
Middle Aged	1	0	0.0	1	1.0
Middle East	3	0	0.0	3	1.0
Midwifery	34	0	0.0	34	1.0
