count	Unconquerables (MEDLINE journals NOT OA compliant)	% Unconquerables (MEDLINE journals NOT OA compliant)	MEDLINE journals OA compliant	% MEDLINE journals OA compliant
24	21	0.875	3	0.125
56	15	0.26785714285714285	41	0.7321428571428571
355	14	0.03943661971830986	341	0.9605633802816902
42	13	0.30952380952380953	29	0.6904761904761905
11	10	0.9090909090909091	1	0.09090909090909091
9	9	1.0	0	0.0
11	7	0.6363636363636364	4	0.36363636363636365
151	7	0.046357615894039736	144	0.9536423841059603
6	6	1.0	0	0.0
6	6	1.0	0	0.0
5	5	1.0	0	0.0
14	5	0.35714285714285715	9	0.6428571428571429
22	5	0.22727272727272727	17	0.7727272727272727
22	5	0.22727272727272727	17	0.7727272727272727
4	4	1.0	0	0.0
4	4	1.0	0	0.0
9	4	0.4444444444444444	5	0.5555555555555556
13	4	0.3076923076923077	9	0.6923076923076923
37	4	0.10810810810810811	33	0.8918918918918919
46	4	0.08695652173913043	42	0.9130434782608695
119	4	0.03361344537815126	115	0.9663865546218487
3	3	1.0	0	0.0
3	3	1.0	0	0.0
3	3	1.0	0	0.0
5	3	0.6	2	0.4
5	3	0.6	2	0.4
6	3	0.5	3	0.5
13	3	0.23076923076923078	10	0.7692307692307693
149	3	0.020134228187919462	146	0.9798657718120806
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
2	2	1.0	0	0.0
3	2	0.6666666666666666	1	0.3333333333333333
3	2	0.6666666666666666	1	0.3333333333333333
5	2	0.4	3	0.6
11	2	0.18181818181818182	9	0.8181818181818182
11	2	0.18181818181818182	9	0.8181818181818182
12	2	0.16666666666666666	10	0.8333333333333334
13	2	0.15384615384615385	11	0.8461538461538461
15	2	0.13333333333333333	13	0.8666666666666667
16	2	0.125	14	0.875
25	2	0.08	23	0.92
26	2	0.07692307692307693	24	0.9230769230769231
55	2	0.03636363636363636	53	0.9636363636363636
85	2	0.023529411764705882	83	0.9764705882352941
98	2	0.02040816326530612	96	0.9795918367346939
130	2	0.015384615384615385	128	0.9846153846153847
138	2	0.014492753623188406	136	0.9855072463768116
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
1	1	1.0	0	0.0
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
2	1	0.5	1	0.5
3	1	0.3333333333333333	2	0.6666666666666666
3	1	0.3333333333333333	2	0.6666666666666666
4	1	0.25	3	0.75
4	1	0.25	3	0.75
5	1	0.2	4	0.8
5	1	0.2	4	0.8
5	1	0.2	4	0.8
6	1	0.16666666666666666	5	0.8333333333333334
6	1	0.16666666666666666	5	0.8333333333333334
6	1	0.16666666666666666	5	0.8333333333333334
6	1	0.16666666666666666	5	0.8333333333333334
7	1	0.14285714285714285	6	0.8571428571428571
7	1	0.14285714285714285	6	0.8571428571428571
7	1	0.14285714285714285	6	0.8571428571428571
8	1	0.125	7	0.875
8	1	0.125	7	0.875
8	1	0.125	7	0.875
8	1	0.125	7	0.875
9	1	0.1111111111111111	8	0.8888888888888888
9	1	0.1111111111111111	8	0.8888888888888888
9	1	0.1111111111111111	8	0.8888888888888888
10	1	0.1	9	0.9
12	1	0.08333333333333333	11	0.9166666666666666
13	1	0.07692307692307693	12	0.9230769230769231
14	1	0.07142857142857142	13	0.9285714285714286
15	1	0.06666666666666667	14	0.9333333333333333
15	1	0.06666666666666667	14	0.9333333333333333
16	1	0.0625	15	0.9375
18	1	0.05555555555555555	17	0.9444444444444444
20	1	0.05	19	0.95
24	1	0.041666666666666664	23	0.9583333333333334
29	1	0.034482758620689655	28	0.9655172413793104
29	1	0.034482758620689655	28	0.9655172413793104
35	1	0.02857142857142857	34	0.9714285714285714
45	1	0.022222222222222223	44	0.9777777777777777
66	1	0.015151515151515152	65	0.9848484848484849
1	0	0.0	1	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
4	0	0.0	4	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
15	0	0.0	15	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
6	0	0.0	6	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
26	0	0.0	26	1.0
5	0	0.0	5	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
2	0	0.0	2	1.0
12	0	0.0	12	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
25	0	0.0	25	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
2	0	0.0	2	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
2	0	0.0	2	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
6	0	0.0	6	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
11	0	0.0	11	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
4	0	0.0	4	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
7	0	0.0	7	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
50	0	0.0	50	1.0
132	0	0.0	132	1.0
3	0	0.0	3	1.0
5	0	0.0	5	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
4	0	0.0	4	1.0
5	0	0.0	5	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
1	0	0.0	1	1.0
14	0	0.0	14	1.0
2	0	0.0	2	1.0
1	0	0.0	1	1.0
6	0	0.0	6	1.0
1	0	0.0	1	1.0
9	0	0.0	9	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
21	0	0.0	21	1.0
5	0	0.0	5	1.0
5	0	0.0	5	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
7	0	0.0	7	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
3	0	0.0	3	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
1	0	0.0	1	1.0
2	0	0.0	2	1.0
3	0	0.0	3	1.0
1	0	0.0	1	1.0
